YEAR_MONTH,COMMUNITY_AREA,Abandoned Vehicle Complaint,Alley Light Out Complaint,Alley Pothole Complaint,Alley Sewer Inspection Request,Blue Recycling Cart,Building Violation,Buildings - Plumbing Violation,Business Complaints,Check for Leak,Clean Vacant Lot Request,Consumer Fraud Complaint,Coyote Interaction Complaint,Dead Animal Pick-Up Request,Fly Dumping Complaint,Garbage Cart Maintenance,Graffiti Removal Request,Inspect Public Way Request,Low Water Pressure Complaint,Missed Garbage Pick-Up Complaint,No Building Permit and Construction Violation,No Water Complaint,Nuisance Animal Complaint,Open Fire Hydrant Complaint,Pet Wellness Check Request,Pothole in Street Complaint,Recycling Pick Up,Report an Injured Animal,Restaurant Complaint,Rodent Baiting/Rat Complaint,Sanitation Code Violation,Sewer Cave-In Inspection Request,Sewer Cleaning Inspection Request,Sidewalk Inspection Request,Sign Repair Request - All Other Signs,Sign Repair Request - Do Not Enter Sign,Sign Repair Request - One Way Sign,Sign Repair Request - Stop Sign,Stray Animal Complaint,Street Cleaning Request,Street Light Out Complaint,Street Light Pole Damage Complaint,Traffic Signal Out Complaint,Tree Debris Clean-Up Request,Tree Emergency,Tree Planting Request,Tree Removal Inspection,Tree Trim Request (NO LONGER BEING ACCEPTED),Vacant/Abandoned Building Complaint,Vicious Animal Complaint,Water Lead Test Kit Request,Water On Street Complaint,Water Quality Concern,Water in Basement Complaint,Weed Removal Request,Yard Waste Pick-Up Request,total_volume_area_23,total_volume_area_24,total_volume_area_26
2022-03,25,218,22,33,9,81,92,42,11,28,35,2,1,42,73,184,121,40,12,23,19,3,19,4,2,274,27,29,8,122,77,24,38,22,53,0,7,11,63,12,169,18,48,31,16,13,44,2,43,40,9,61,0,46,0,3,,,2426.0
2022-04,25,243,14,89,7,62,107,34,4,24,28,4,2,22,77,172,103,37,5,16,24,9,11,4,11,398,16,32,7,119,47,12,46,23,31,0,6,10,48,13,103,10,46,54,24,16,62,55,27,30,4,43,0,18,0,6,,,2415.0
2022-05,25,166,17,78,13,75,94,39,4,25,32,6,2,37,61,200,84,43,17,18,19,9,15,6,3,255,11,24,10,139,49,11,49,24,33,0,7,11,57,9,75,16,90,57,32,15,67,106,27,31,21,54,3,24,58,26,,,2454.0
2022-06,25,189,13,84,4,88,88,38,7,26,36,3,0,54,79,235,73,40,29,37,16,6,18,61,12,192,13,31,13,167,98,11,19,29,20,0,2,14,54,23,128,20,69,412,281,13,91,168,28,37,25,20,3,8,96,30,,,3351.0
2022-07,25,157,21,106,3,59,120,36,12,28,36,10,1,53,87,193,107,30,28,21,7,7,19,26,11,127,16,34,7,179,103,18,31,22,22,1,7,9,58,18,182,16,27,170,66,37,60,176,23,38,20,20,2,14,70,20,,,2771.0
2022-08,25,206,33,36,3,78,88,35,5,23,64,3,4,72,66,245,80,23,17,18,11,10,16,38,6,100,15,60,7,184,86,14,23,19,44,2,10,18,70,15,163,8,26,191,113,40,59,159,23,44,22,6,4,4,40,21,,,2770.0
2022-09,25,205,25,26,2,62,90,37,5,29,23,5,2,89,78,203,129,20,15,22,14,10,19,5,8,79,13,40,8,150,62,9,31,31,20,1,23,10,66,11,216,12,40,128,40,45,55,128,24,32,30,22,5,22,31,9,,,2516.0
2022-10,25,145,37,22,1,63,89,48,10,21,19,3,2,45,67,167,90,23,10,22,13,6,20,6,11,36,12,33,2,139,42,14,15,14,22,1,7,7,69,11,130,8,30,71,18,43,46,101,19,44,10,7,2,7,10,20,,,1930.0
2022-11,25,133,29,74,2,62,63,26,8,23,10,7,0,28,34,146,91,14,5,25,14,13,16,5,9,42,9,35,4,83,12,4,13,5,15,3,11,16,53,21,92,11,54,71,60,20,45,65,17,31,28,6,2,6,6,33,,,1710.0
2022-12,25,188,11,18,4,59,76,75,7,28,7,6,5,36,52,132,62,13,5,21,8,46,7,2,13,21,14,21,4,79,32,5,8,6,27,0,4,10,42,6,71,11,49,13,14,17,16,19,9,21,13,20,0,18,0,3,,,1454.0
2023-01,25,163,20,32,6,74,76,53,3,36,11,6,9,43,69,160,76,9,16,20,13,18,11,4,6,135,13,24,7,72,40,7,16,13,27,0,1,6,44,6,127,11,49,8,9,10,15,1,10,18,14,21,2,33,0,5,,,1678.0
2023-02,25,221,41,45,3,49,48,25,6,36,4,2,2,21,37,141,60,7,10,13,10,12,16,5,8,163,12,30,6,81,29,2,62,8,18,1,4,3,37,10,125,14,54,19,13,4,35,5,12,14,26,59,1,47,0,0,,,1716.0
2023-03,25,233,41,58,4,62,56,27,8,26,38,4,7,38,85,166,122,29,9,21,15,8,17,2,6,196,6,18,7,81,52,11,42,21,34,0,3,10,62,15,82,22,45,27,14,5,52,1,17,19,14,31,3,22,0,5,,,1999.0
2023-04,25,186,32,51,4,78,86,56,8,21,27,1,0,46,61,179,103,36,7,29,14,5,12,2,11,149,7,41,8,108,68,12,32,44,32,1,10,23,60,16,115,32,54,93,125,11,74,126,17,22,16,9,2,9,0,16,,,2387.0
2023-05,25,254,80,72,3,85,66,27,7,21,26,6,0,74,77,214,116,34,19,30,17,13,24,6,6,138,9,36,7,107,75,20,16,32,46,0,8,8,73,14,83,10,53,79,33,21,76,270,16,24,23,7,1,8,37,23,,,2630.0
2023-06,25,235,35,60,5,77,92,22,15,17,23,4,6,57,68,227,134,33,21,33,34,6,26,7,17,104,10,39,11,137,67,17,33,20,29,1,8,6,47,16,145,11,57,116,61,188,78,287,20,30,30,7,2,15,34,28,,,2908.0
2023-07,25,213,20,57,33,107,158,131,4,34,39,3,0,45,72,313,129,31,17,104,26,15,14,66,14,104,11,34,5,172,84,19,190,30,34,0,2,7,50,22,175,25,85,155,108,19,107,162,22,25,38,194,2,5728,39,29,,,9322.0
2023-08,25,249,37,81,10,104,122,70,8,42,35,3,1,59,76,287,236,21,19,45,35,21,16,48,19,110,15,33,9,178,87,22,74,23,46,0,14,13,58,14,155,12,44,198,62,19,72,164,33,26,29,29,2,244,48,27,,,3504.0
2023-09,25,161,23,45,13,62,101,62,11,56,21,11,2,69,82,174,97,24,26,35,36,30,10,48,10,63,10,44,5,141,59,23,35,20,37,0,2,8,72,18,76,11,66,105,33,16,65,116,17,25,33,35,4,36,15,17,,,2416.0
2023-10,25,178,32,72,5,73,101,48,13,45,14,5,2,46,62,203,58,22,24,23,33,25,15,11,11,62,6,37,9,131,45,15,42,10,27,1,21,7,50,7,134,14,43,77,39,23,55,107,19,36,34,17,4,15,11,14,,,2233.0
2023-11,25,165,21,30,6,48,88,42,5,36,10,3,4,63,88,169,82,24,12,114,28,13,14,9,12,41,9,32,7,105,33,9,14,7,29,0,2,5,59,15,89,21,74,36,6,16,42,59,10,33,15,14,0,18,3,32,,,1921.0
2023-12,25,181,23,24,2,63,67,32,4,16,17,7,11,61,50,175,72,17,10,22,18,20,14,7,9,27,10,22,5,80,44,4,13,10,52,0,3,5,46,11,96,11,63,21,7,5,29,107,18,18,22,9,1,14,0,7,,,1682.0
2024-01,25,248,28,35,6,59,122,101,6,53,9,4,3,46,50,144,134,9,9,44,18,81,26,5,32,130,14,42,7,63,35,9,32,22,99,2,12,15,42,8,89,4,65,9,34,4,26,59,23,23,37,32,0,46,0,2,,,2257.0
2024-02,25,211,16,41,1,60,88,56,19,36,25,6,0,70,68,179,143,16,7,22,43,8,25,9,6,341,16,37,11,70,61,6,10,30,77,1,8,17,64,22,90,8,25,36,17,4,46,136,30,34,22,9,4,16,0,5,,,2408.0
2024-03,25,182,36,49,6,50,107,40,19,23,19,10,1,73,72,165,148,13,17,20,30,21,16,2,7,143,6,63,5,68,43,8,39,39,115,4,13,19,60,13,122,13,44,42,35,8,73,246,38,40,22,43,2,36,0,6,,,2534.0
2024-04,25,225,15,59,11,48,89,66,8,25,16,6,3,41,63,175,125,32,14,21,16,11,21,8,7,163,4,71,6,73,56,13,40,27,42,1,4,17,66,12,65,7,42,74,47,20,56,233,27,37,453,44,1,28,4,26,,,2864.0
2024-05,25,239,33,71,7,78,110,68,13,24,39,3,2,61,81,214,119,16,13,37,24,7,25,2,5,101,11,62,2,79,102,13,40,28,45,0,12,14,60,12,96,8,50,135,172,84,90,204,29,42,27,50,4,24,109,28,,,3024.0
2024-06,25,211,25,55,3,74,84,54,19,24,32,6,1,93,84,253,96,24,30,58,9,5,16,66,7,99,11,45,5,104,63,12,16,90,106,0,9,13,48,14,123,24,46,169,154,33,116,111,20,34,35,14,29,9,72,28,,,2981.0
2024-07,25,187,25,52,0,85,106,55,7,47,23,9,0,49,93,266,73,27,21,56,14,27,14,48,12,88,16,41,5,150,79,13,37,22,41,0,10,15,70,83,206,18,60,563,479,13,137,86,28,34,17,19,2,28,55,24,,,3735.0
2024-08,25,226,14,35,4,66,95,35,7,45,29,11,1,86,73,250,106,29,17,26,13,14,13,65,16,77,13,65,5,131,76,11,20,33,40,0,8,8,54,13,101,4,41,194,107,24,72,130,27,44,23,16,2,8,39,23,,,2685.0
2024-09,25,255,27,39,4,85,91,35,10,27,26,8,0,68,85,228,115,19,15,46,13,12,16,4,8,81,10,57,3,113,68,5,35,58,93,7,23,27,33,51,68,19,71,110,59,9,61,71,29,19,22,22,4,15,126,8,,,2613.0
2024-10,25,191,15,40,3,72,91,50,12,22,28,7,0,60,86,208,114,29,11,25,23,15,21,9,4,60,4,37,4,126,66,9,35,52,47,1,8,9,58,96,112,4,54,89,52,15,58,151,25,27,21,11,2,4,9,13,,,2395.0
2024-11,25,142,30,18,3,58,76,38,13,23,7,6,1,33,39,173,122,25,14,55,18,8,13,8,7,39,6,29,3,103,32,6,14,16,22,1,6,11,52,13,141,9,95,54,24,13,27,210,14,37,28,11,4,8,0,23,,,1981.0
2024-12,25,207,11,13,5,75,66,54,11,30,10,3,0,26,38,157,104,16,7,59,18,11,10,8,17,33,3,39,8,55,47,6,15,14,15,2,9,21,74,18,93,15,74,18,27,3,28,204,20,37,35,11,1,17,0,8,,,1906.0
2025-01,25,221,21,15,4,76,93,53,16,98,9,5,8,26,34,157,115,17,14,37,12,74,9,9,24,49,5,23,3,53,25,6,14,14,20,0,3,10,64,11,134,8,63,10,11,2,13,318,10,28,132,31,5,37,0,2,,,2251.0
2025-02,25,233,16,15,4,53,69,58,7,43,12,7,4,14,54,139,50,8,4,18,11,22,11,14,8,141,16,19,3,55,42,3,12,9,29,2,3,15,37,14,99,14,44,14,11,10,30,261,10,24,47,10,0,20,0,2,,,1870.0
2025-03,25,276,54,62,5,58,101,44,15,28,20,4,2,63,92,193,72,35,8,29,41,12,21,1,8,172,12,22,7,86,59,17,26,23,63,2,7,8,51,29,141,15,69,46,30,13,55,259,19,25,54,12,2,28,0,6,,,2602.0
2025-04,25,257,9,74,4,84,99,37,13,30,32,6,3,48,91,191,98,32,7,23,35,10,21,1,11,200,13,26,6,100,51,22,31,24,57,4,13,16,59,13,89,8,110,61,36,16,66,244,30,22,34,24,0,24,1,13,,,2629.0
2025-05,25,276,40,53,3,84,87,38,19,18,48,1,2,61,108,216,149,32,8,26,33,6,16,2,20,149,11,35,5,139,84,6,17,39,45,0,5,14,51,45,96,12,51,87,90,10,80,36,29,26,17,12,3,15,68,19,,,2642.0
2025-06,25,230,26,44,3,86,84,39,10,25,60,3,1,77,83,247,93,31,11,91,25,7,39,62,14,109,14,57,19,138,75,9,27,33,27,0,6,2,63,10,70,11,38,128,121,20,75,93,24,39,32,17,5,16,83,43,,,2795.0
2025-07,25,284,26,54,9,93,94,36,14,32,42,3,3,60,95,311,151,33,11,105,23,13,19,77,10,120,9,53,14,167,99,8,35,26,36,0,4,6,64,11,93,15,82,152,130,25,93,81,71,38,43,25,1,34,92,29,,,3254.0
2025-08,25,302,24,43,1,100,73,50,8,36,19,1,2,70,98,272,129,36,18,36,26,16,9,48,4,78,10,43,6,140,115,11,32,14,29,1,6,7,64,71,90,8,61,154,72,7,60,86,38,26,60,26,1,71,102,35,,,2945.0
2025-09,25,326,19,35,5,108,73,53,8,22,21,2,0,79,109,228,176,28,12,45,19,7,15,9,10,46,18,35,9,144,71,4,18,16,22,0,2,11,54,19,72,9,36,115,42,13,56,36,25,25,24,3,6,15,31,27,,,2413.0
2025-10,25,290,24,24,0,88,95,43,13,39,23,2,1,62,105,230,128,25,9,18,23,10,18,7,11,32,10,41,6,126,50,4,18,9,26,2,3,10,67,10,79,14,52,99,61,8,48,112,19,25,31,15,1,8,7,18,,,2299.0
2025-11,25,195,14,9,3,87,61,47,8,42,9,3,4,43,157,177,56,7,7,31,17,12,15,6,33,24,3,27,6,83,34,3,8,10,12,0,2,15,55,19,95,11,64,61,67,3,34,152,20,25,23,15,1,9,0,30,,,1954.0
2025-12,25,198,6,4,3,96,63,59,6,54,8,6,2,26,83,160,76,18,16,74,25,16,8,9,20,28,6,21,4,57,27,7,16,3,23,3,4,9,58,9,53,5,92,11,12,0,23,197,8,13,26,17,1,22,0,2,,,1793.0
2019-01,26,1,10,1,0,8,17,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,0,1,7,0,0,0,0,0,3,1,5,2,0,0,0,5,0,17,0,1,0,0,0,1,3,0,0,3,0,0,0,0,0,,,94.0
2019-02,26,4,2,4,0,9,11,24,3,4,4,0,0,1,5,36,0,1,0,0,1,0,0,0,0,42,0,1,2,1,4,3,1,0,2,0,0,0,1,3,44,0,3,0,1,2,7,5,4,0,6,4,0,1,0,0,,,246.0
2019-03,26,18,5,12,0,12,14,7,0,7,14,2,0,5,12,52,1,2,0,12,1,4,0,0,0,62,3,2,0,15,8,6,7,0,9,0,0,2,6,4,84,2,23,3,4,0,5,3,11,7,8,3,0,5,0,0,,,462.0
2019-04,26,16,11,26,0,8,27,4,1,15,14,2,0,6,21,45,9,3,0,1,4,3,3,0,0,62,3,3,0,26,9,12,14,2,68,5,11,9,8,1,72,3,14,6,7,0,15,12,23,5,8,4,0,3,0,0,,,624.0
2019-05,26,17,13,27,1,9,19,3,1,4,11,0,0,5,10,41,8,3,1,2,5,1,3,0,0,47,1,5,1,25,5,4,11,2,6,0,0,2,11,1,74,2,10,8,7,1,4,15,13,2,2,12,0,4,128,1,,,588.0
2019-06,26,17,7,11,1,16,24,3,1,9,12,1,0,14,17,51,22,1,2,4,3,0,2,0,1,33,4,10,1,34,16,27,9,0,32,1,5,7,7,5,73,1,21,25,5,1,14,37,74,4,2,5,0,1,425,3,,,1101.0
2019-07,26,18,11,3,0,13,24,5,0,2,12,1,0,10,17,78,10,5,2,24,2,2,1,64,1,44,5,7,2,32,19,8,8,3,35,0,4,2,10,6,64,2,25,23,8,3,7,33,26,3,16,7,0,1,578,2,,,1288.0
2019-08,26,26,10,8,0,10,18,5,1,4,15,0,0,10,16,49,39,1,1,6,7,3,3,1,3,38,8,13,2,46,18,10,5,3,68,1,8,10,8,1,94,9,26,19,5,0,11,41,63,2,26,3,0,1,636,0,,,1411.0
2019-09,26,12,1,14,0,11,30,4,0,7,23,1,0,18,33,35,35,5,1,7,7,1,4,0,3,27,6,12,0,48,16,3,5,2,45,0,7,3,14,3,60,4,20,22,4,0,8,21,30,12,16,1,0,0,646,1,,,1288.0
2019-10,26,11,9,7,4,11,25,12,3,2,13,0,0,6,24,38,14,5,0,3,3,1,0,0,2,20,5,10,1,36,16,10,8,1,8,0,1,3,18,2,115,5,24,18,7,1,14,15,24,6,10,3,0,1,141,0,,,716.0
2019-11,26,12,13,5,0,5,22,9,0,3,4,2,2,11,18,140,15,1,0,7,7,1,0,0,4,18,3,4,2,34,5,7,9,1,27,2,2,6,15,1,75,2,13,8,3,2,5,10,9,4,4,2,0,5,1,0,,,560.0
2019-12,26,16,4,8,0,18,10,3,0,5,16,0,0,6,20,67,13,7,0,30,7,4,0,0,4,15,4,6,1,13,12,3,1,2,29,0,0,3,9,2,47,5,6,7,3,0,0,5,10,3,3,1,0,0,0,0,,,428.0
2020-01,26,27,4,4,0,18,25,3,0,6,6,0,2,7,17,59,21,2,0,7,4,1,2,0,6,25,8,10,0,31,4,3,7,4,36,1,10,9,7,1,57,9,22,11,7,1,1,3,6,5,1,6,1,0,0,0,,,507.0
2020-02,26,28,3,1,0,11,17,4,1,6,4,0,1,11,15,48,8,1,1,2,7,8,3,0,2,23,2,11,1,11,5,1,6,2,7,0,0,0,7,4,20,1,9,3,0,0,2,3,9,4,9,0,0,3,0,0,,,325.0
2020-03,26,28,12,36,0,24,20,4,6,8,63,2,3,7,38,60,13,5,2,9,2,2,1,1,1,9,2,2,0,19,43,0,1,1,2,0,0,2,2,3,33,3,8,15,2,1,2,4,18,5,0,3,0,1,0,0,,,528.0
2020-04,26,15,5,17,0,12,12,6,21,2,42,1,0,6,59,46,30,2,0,3,5,7,1,0,0,20,2,2,0,15,17,0,2,0,17,0,2,4,6,4,28,2,4,14,1,0,7,12,6,5,0,4,0,2,0,0,,,468.0
2020-05,26,25,7,14,2,71,25,10,17,4,23,2,0,11,25,79,19,4,1,23,4,3,1,0,2,17,3,22,1,33,27,5,14,3,14,0,2,2,5,5,42,4,9,14,2,1,5,19,17,8,3,18,0,28,30,1,,,726.0
2020-06,26,40,8,23,0,23,29,7,4,9,25,1,0,11,20,84,26,10,3,4,5,1,0,0,0,11,5,8,1,31,17,3,4,1,25,0,0,6,10,5,57,2,16,26,24,1,13,34,13,5,1,4,0,3,49,1,,,709.0
2020-07,26,55,15,4,1,31,25,9,4,2,25,0,0,12,25,100,11,8,1,27,1,2,4,29,2,20,20,8,1,41,32,0,6,1,12,0,0,2,2,5,125,3,20,32,17,3,14,117,16,5,0,3,0,2,353,1,,,1254.0
2020-08,26,66,16,5,0,23,27,4,6,7,19,0,0,17,27,83,4,7,5,8,8,6,3,4,1,24,4,13,3,43,19,4,1,3,13,0,0,0,10,4,96,5,11,147,66,1,20,28,19,7,0,0,0,0,354,3,,,1244.0
2020-09,26,76,10,5,0,21,19,13,6,9,27,2,1,3,18,88,42,0,2,7,9,4,3,1,1,13,2,12,2,47,14,4,3,3,11,0,0,4,9,4,42,6,9,36,10,1,5,32,12,4,1,1,0,1,275,1,,,931.0
2020-10,26,49,0,10,0,12,24,16,7,3,13,2,0,10,23,68,15,4,1,6,5,2,1,2,3,21,3,2,2,34,12,2,2,0,17,0,1,0,11,3,57,2,9,21,4,0,10,13,4,2,0,1,0,3,206,0,,,718.0
2020-11,26,40,3,7,0,9,26,8,2,4,4,1,1,4,15,41,38,7,0,12,2,3,1,0,3,7,9,5,1,21,11,3,2,4,20,0,3,2,3,2,48,3,20,6,1,0,5,4,6,5,2,0,0,7,562,1,,,994.0
2020-12,26,37,2,6,0,22,22,12,4,8,17,2,0,5,14,62,50,1,4,14,5,9,2,1,2,17,9,6,0,26,13,1,1,3,15,8,5,1,6,3,11,2,6,14,3,0,2,8,10,1,0,0,0,1,0,0,,,473.0
2021-01,26,45,4,11,1,10,22,13,7,3,10,0,1,4,18,41,31,3,3,7,5,4,2,0,2,27,2,1,2,16,5,1,4,2,13,1,3,3,2,0,18,6,12,9,0,0,1,1,7,6,2,1,0,1,0,0,,,393.0
2021-02,26,17,2,1,0,7,35,8,7,2,0,0,0,0,11,26,40,0,1,16,4,14,1,0,5,14,3,1,1,5,9,0,1,0,15,0,14,1,8,0,10,2,16,0,0,0,4,0,4,3,1,0,0,1,0,0,,,310.0
2021-03,26,51,3,13,0,18,12,4,2,3,22,1,1,6,45,76,41,3,2,14,5,2,5,1,0,42,14,1,3,28,35,6,5,1,10,0,0,3,11,8,39,10,20,8,3,2,2,6,19,3,1,0,0,0,0,0,,,610.0
2021-04,26,86,4,9,1,18,15,2,5,4,31,0,0,9,39,60,45,10,0,7,7,1,3,0,5,6,6,5,2,28,14,1,2,1,27,0,0,6,2,3,17,4,3,14,1,1,9,4,21,6,3,1,0,0,0,0,,,548.0
2021-05,26,92,2,2,0,10,23,5,3,9,36,1,0,11,25,57,49,4,3,5,10,3,4,0,2,8,4,5,0,29,17,2,6,1,23,0,0,4,6,8,27,2,11,21,6,2,11,15,15,3,2,2,4,0,41,1,,,632.0
2021-06,26,58,8,14,1,11,19,12,1,4,21,0,0,9,30,71,52,3,10,5,7,3,3,17,0,14,0,6,3,41,24,4,12,2,50,0,3,4,11,8,50,6,17,27,16,0,14,27,17,3,0,7,0,14,719,0,,,1458.0
2021-07,26,123,2,12,1,20,29,19,4,2,32,1,0,11,34,88,20,4,1,5,4,6,6,25,1,14,12,7,3,62,26,6,7,2,30,0,3,4,8,5,25,1,6,27,14,1,16,37,11,5,8,1,1,6,577,1,,,1376.0
2021-08,26,95,5,1,0,14,32,7,3,7,32,2,1,15,46,55,17,1,2,12,6,2,5,29,1,9,5,9,5,66,19,2,3,3,41,0,6,4,3,4,15,2,19,40,18,1,19,24,13,2,5,1,0,1,142,0,,,871.0
2021-09,26,34,3,3,0,24,32,7,12,4,22,1,0,7,21,69,28,3,1,5,4,3,1,1,2,4,2,1,0,36,24,2,5,2,8,0,3,3,6,6,16,5,10,17,5,1,8,17,7,5,0,2,0,1,166,3,,,652.0
2021-10,26,36,1,2,2,18,28,6,4,8,14,2,0,6,26,50,49,5,2,3,4,4,3,1,4,11,2,4,1,49,7,0,7,2,29,0,1,2,10,4,36,4,10,14,11,0,5,18,12,9,0,12,0,3,0,1,,,542.0
2021-11,26,16,6,5,0,8,25,9,0,6,8,1,0,8,14,41,17,4,2,10,2,2,0,0,2,6,1,13,2,34,14,0,1,4,16,0,0,2,14,2,9,2,14,14,2,1,6,7,11,12,2,1,0,1,0,0,,,377.0
2021-12,26,16,2,3,0,10,33,4,2,7,8,3,1,8,13,41,11,0,1,19,1,1,2,1,0,11,3,4,1,14,10,3,0,0,6,0,0,6,6,4,21,3,6,10,8,0,5,2,16,7,1,2,0,3,0,2,,,341.0
2022-01,26,29,2,0,0,8,29,11,1,4,3,1,0,6,3,35,33,4,1,11,4,14,0,0,3,9,4,6,1,10,8,1,0,2,11,0,0,9,14,2,17,4,18,6,0,0,1,0,10,3,2,3,2,0,0,1,,,346.0
2022-02,26,42,0,1,0,8,17,8,2,5,4,1,0,3,18,34,25,4,2,5,6,5,1,1,1,35,4,6,1,13,16,3,4,0,59,0,0,6,7,2,36,1,18,2,1,0,3,0,13,2,0,7,0,2,0,0,,,434.0
2022-03,26,51,4,10,0,10,18,5,2,4,22,0,0,2,44,63,87,5,0,6,3,5,2,0,2,56,3,6,1,17,9,6,3,2,7,0,3,2,4,5,19,2,17,6,2,2,3,1,6,6,0,10,0,5,0,0,,,548.0
2022-04,26,32,2,19,2,12,21,8,1,1,18,1,0,3,34,51,6,3,0,3,3,2,2,0,1,84,1,7,1,13,14,2,12,1,3,0,3,2,12,4,21,2,7,10,5,0,11,4,13,13,0,5,1,3,0,0,,,479.0
2022-05,26,94,8,15,0,13,22,11,4,7,17,2,0,8,31,57,42,5,0,0,0,1,6,1,2,30,5,6,0,11,16,7,1,1,4,2,7,4,15,2,51,2,27,14,7,3,7,24,19,7,2,8,0,2,32,0,,,662.0
2022-06,26,40,4,8,0,13,31,9,0,6,19,0,0,4,26,50,48,5,2,10,4,1,4,20,2,37,5,10,1,34,11,5,4,3,2,0,0,3,7,6,32,8,17,59,39,1,10,30,33,6,4,1,1,3,50,1,,,729.0
2022-07,26,42,3,11,0,17,27,7,4,7,18,2,0,11,34,67,12,4,1,11,3,2,3,7,0,12,2,7,1,32,21,2,1,2,2,0,0,0,4,2,70,2,19,31,8,0,11,28,13,8,2,1,0,0,25,3,,,602.0
2022-08,26,39,7,5,0,14,25,13,0,13,45,0,0,8,29,49,23,2,0,5,6,2,5,1,2,8,0,12,3,28,20,1,1,2,1,0,5,2,16,3,62,2,3,36,1,9,9,26,20,8,7,2,0,0,33,0,,,613.0
2022-09,26,33,5,2,0,19,23,12,2,4,24,0,0,14,25,45,16,5,2,1,4,3,6,2,1,7,3,10,3,31,18,1,1,2,3,0,2,2,17,4,56,1,8,26,2,0,6,19,5,14,3,2,0,3,19,1,,,517.0
2022-10,26,20,9,2,0,14,15,6,2,1,19,0,1,8,33,50,31,3,0,8,3,1,4,1,1,7,1,20,1,30,10,0,2,3,4,1,0,5,8,5,42,0,7,18,3,7,20,14,9,6,1,0,0,2,6,2,,,466.0
2022-11,26,45,8,1,0,7,12,7,0,6,12,1,0,10,40,35,14,3,0,19,2,0,3,0,2,6,1,4,1,22,6,1,3,0,1,0,3,7,13,0,21,2,15,6,6,1,1,4,13,3,2,1,0,5,3,3,,,381.0
2022-12,26,34,4,3,2,7,23,29,1,8,9,1,1,8,17,37,16,1,0,9,3,11,2,0,6,8,3,5,0,18,9,0,2,0,3,0,0,3,11,3,32,1,10,7,4,2,0,3,11,6,3,1,0,7,0,3,,,387.0
2023-01,26,27,3,8,1,12,27,15,3,4,5,1,1,3,23,50,42,2,0,6,5,3,0,0,4,65,0,3,1,13,6,2,2,2,4,0,0,1,20,3,43,4,16,13,3,4,4,0,10,12,5,3,0,6,0,0,,,490.0
2023-02,26,38,1,2,3,7,17,7,3,11,13,0,0,4,22,38,35,3,0,1,2,2,0,0,3,49,1,5,3,16,12,4,3,4,5,1,0,4,9,3,19,2,35,5,1,1,2,0,6,11,6,9,2,6,0,0,,,436.0
2023-03,26,17,4,10,3,12,22,3,3,6,16,1,4,4,26,40,24,1,0,4,2,2,2,0,0,47,1,5,0,24,8,3,5,1,5,0,1,3,9,6,21,2,20,6,2,2,2,1,9,6,0,6,0,4,0,2,,,407.0
2023-04,26,28,3,11,1,18,30,13,4,4,16,0,0,8,37,48,9,1,0,4,7,5,4,0,1,26,1,8,0,18,14,3,4,2,3,0,4,3,12,1,24,4,11,47,11,2,11,70,11,6,2,1,0,2,0,2,,,555.0
2023-05,26,87,9,4,0,15,16,8,4,4,19,0,1,13,33,51,28,3,1,4,3,4,1,0,1,20,1,4,3,11,9,5,2,2,3,0,2,8,11,5,23,4,14,15,0,35,8,41,8,7,1,2,1,4,15,1,,,574.0
2023-06,26,35,3,7,0,11,14,3,2,3,15,1,0,10,32,65,30,3,5,14,3,2,4,0,4,27,1,18,0,18,13,3,1,2,4,0,0,0,15,10,26,6,15,41,15,282,11,36,10,9,2,2,1,2,26,6,,,868.0
2023-07,26,22,1,7,3,21,24,42,1,7,18,1,0,19,27,63,9,7,6,17,3,2,4,3,2,17,2,13,1,35,6,7,25,2,3,0,3,4,8,4,13,1,19,33,17,86,9,9,14,8,2,30,1,987,29,5,,,1702.0
2023-08,26,64,5,16,2,22,41,17,6,6,23,2,0,12,40,68,74,6,2,9,9,2,2,35,0,13,1,11,2,31,9,5,13,4,6,0,2,2,13,3,8,0,12,41,9,2,14,20,11,20,3,8,0,39,24,2,,,791.0
2023-09,26,46,2,6,0,13,26,10,5,9,10,2,0,22,35,55,9,4,3,9,7,5,2,9,1,16,1,23,1,31,9,8,7,0,2,0,2,0,14,5,14,3,18,30,2,0,4,16,5,8,3,4,1,8,10,0,,,535.0
2023-10,26,40,6,5,1,13,24,9,3,8,5,0,0,15,22,51,6,1,0,9,1,1,2,1,7,19,0,13,1,25,7,1,5,1,1,0,0,3,12,3,0,2,21,20,2,81,2,32,9,4,9,4,1,0,3,1,,,512.0
2023-11,26,18,4,6,0,10,23,13,1,9,6,0,0,2,20,48,18,1,3,19,7,4,1,0,1,7,4,4,0,17,4,0,3,14,10,0,2,2,12,2,11,1,58,3,5,4,3,64,4,4,1,1,0,3,1,0,,,458.0
2023-12,26,28,2,1,1,10,12,6,1,6,4,2,0,7,15,30,6,3,0,6,4,1,3,1,3,9,3,8,0,10,11,0,3,0,7,1,0,0,8,1,17,4,10,8,0,6,5,30,4,5,1,1,0,3,0,2,,,309.0
2024-01,26,34,9,4,0,12,28,40,0,10,14,1,0,12,14,45,33,0,1,4,7,31,2,6,4,42,1,8,0,14,6,1,6,5,28,3,3,10,9,2,14,1,20,6,2,1,4,5,4,9,2,2,1,7,0,0,,,527.0
